Head,Relation,Tail,Context
Rennert,poner en,su matrimonio,"Por su lado, Rennert puso en duda su matrimonio con Bernarda Ramírez y creyó más probable que estuviese casado con Bernarda Manuela ['la Grifona'], que sería, según esto, su primera mujer ."
Rennert,poner en,su lado,"Por su lado, Rennert puso en duda su matrimonio con Bernarda Ramírez y creyó más probable que estuviese casado con Bernarda Manuela ['la Grifona'], que sería, según esto, su primera mujer ."
Cotarelo,poner de,relieve,"Sin embargo, ambos matrimonios no se encuentran documentados, como ya puso de relieve Cotarelo , y probablemente se fundan en deducciones realizadas a partir de algunos entremeses en los que Cosme Pérez figura junto con estas actrices haciendo papeles de marido y mujer."
Cosme Pérez,figurar junto,deducciones realizadas a partir de algunos entremeses en los que Cosme Pérez figura junto con estas actrices haciendo papeles de marido y mujer,"Sin embargo, ambos matrimonios no se encuentran documentados, como ya puso de relieve Cotarelo , y probablemente se fundan en deducciones realizadas a partir de algunos entremeses en los que Cosme Pérez figura junto con estas actrices haciendo papeles de marido y mujer."
Cotarelo,situar en,1631,"De hecho, la ***Genealogía*** tan sólo documenta su matrimonio con María de Acosta, con la que tuvo una hija —y quizá también un hijo: véase el año 1634—, Francisca María Pérez, y se refiere a la circunstancia de que los tres fueron recibidos en la Cofradía de Nuestra Señora de la Novena estando en la compañía de Tomás Fernández [Cabredo]  —la fecha en que fueron recibidos como cofrades no se especifica en la ***Genealogía***, aunque Cotarelo la sitúa en 1631 —."
mui zelebrado,zelebrar en,la parte,"<br>En la misma ***Genealogía*** se hace alusión a su enorme popularidad en los siguientes términos: ""Fue mui zelebrado en la parte de grazioso, y aun excedió a todos los de su tiempo, y solo con salir a las tablas, y sin hablar, probocaba a risa y al aplauso a los que le veían"" ."
Juan Rana,llegar a,su grande habilidad,"Como muestra de su popularidad, el autor de la ***Genealogía*** nos cuenta que el actor Domingo Canejil, que murió en 1707, recibió el nombre de 'Ranilla' ""porque decían que ni Juan Rana había llegado a su grande habilidad"" ."
M. L. Lobato,recoger,' los papeles,"Así, M. L. Lobato recoge el testimonio del entremés de Avellaneda ***La portería de las damas***, probablemente escrito hacia 1650, en el que se deja constancia de este aprecio, haciendo referencia al hecho de que el autor Pedro de la Rosa hubiera quitado a 'Juan Rana' los papeles de representar porque el gracioso había perdido la memoria, y la tristeza que ello supuestamente habría ocasionado en la familia real: ""Qué ha de hacer la infantica [María Teresa de Austria] / sin su Juan Rana? ¡Ay, bella chocotica! / y al rey, aunque lo encubre con el guante, / ¿quién le ha de hacer reír de aquí en adelante?"" ."
M. L. Lobato,recoger,el testimonio,"Así, M. L. Lobato recoge el testimonio del entremés de Avellaneda ***La portería de las damas***, probablemente escrito hacia 1650, en el que se deja constancia de este aprecio, haciendo referencia al hecho de que el autor Pedro de la Rosa hubiera quitado a 'Juan Rana' los papeles de representar porque el gracioso había perdido la memoria, y la tristeza que ello supuestamente habría ocasionado en la familia real: ""Qué ha de hacer la infantica [María Teresa de Austria] / sin su Juan Rana? ¡Ay, bella chocotica! / y al rey, aunque lo encubre con el guante, / ¿quién le ha de hacer reír de aquí en adelante?"" ."
María Teresa de Austria,hacer,la infantica,"Así, M. L. Lobato recoge el testimonio del entremés de Avellaneda ***La portería de las damas***, probablemente escrito hacia 1650, en el que se deja constancia de este aprecio, haciendo referencia al hecho de que el autor Pedro de la Rosa hubiera quitado a 'Juan Rana' los papeles de representar porque el gracioso había perdido la memoria, y la tristeza que ello supuestamente habría ocasionado en la familia real: ""Qué ha de hacer la infantica [María Teresa de Austria] / sin su Juan Rana? ¡Ay, bella chocotica! / y al rey, aunque lo encubre con el guante, / ¿quién le ha de hacer reír de aquí en adelante?"" ."
María Teresa de Austria,hacer,Juan Rana,"Así, M. L. Lobato recoge el testimonio del entremés de Avellaneda ***La portería de las damas***, probablemente escrito hacia 1650, en el que se deja constancia de este aprecio, haciendo referencia al hecho de que el autor Pedro de la Rosa hubiera quitado a 'Juan Rana' los papeles de representar porque el gracioso había perdido la memoria, y la tristeza que ello supuestamente habría ocasionado en la familia real: ""Qué ha de hacer la infantica [María Teresa de Austria] / sin su Juan Rana? ¡Ay, bella chocotica! / y al rey, aunque lo encubre con el guante, / ¿quién le ha de hacer reír de aquí en adelante?"" ."
Cotarelo,recoger,el testimonio,"<br>Por otro lado, siguiendo con las anécdotas que se le atribuían a 'Juan Rana', Pellicer y después Cotarelo recogen el testimonio de Juan Caramuel, en su obra ***Primus calamus*** , de donde traducen la siguiente anécdota, referida a 'Juan Rana': ""En Madrid, el Salón del Palacio, llamado el Bello (o Buen) Retiro, donde se representan las comedias, tiene alrededor algunas ventanas o balcones, que corresponden a los aposentos donde se sientan los Grandes cuando se representan comedias."
Bergman,notar,una posible alusión,<br>En algunos entremeses de Quiñones de Benavente —véase más abajo para el listado completo de aquellos en cuya representación participó Cosme Pérez— Bergman nota una posible alusión al escándalo del que fue protagonista Cosme Pérez en 1636 cuando fue acusado de pecado nefando : véase el año correspondiente.
F. Sáez Raposo,desligar,la génesis,"Sin embargo, F. Sáez Raposo desliga la génesis tanto del nombre como del apellido del personaje de un factor concreto y singular, y la establece a partir de componentes diversos: de carácter folclórico, relacionados con las características físicas del actor e incluso relativos al posible timbre de voz que éste pudo tener."
Cosme,salir en,*,"Varey y Shergold, en su edición de la ***Genealogía***, relacionan este episodio con el estreno de la obra de Calderón ***Fieras afemina amor***, en la que Cosme salió en un carro para actuar en el entremés de ***El triunfo de Juan Rana*** ."
Cosme,salir en,un carro,"Varey y Shergold, en su edición de la ***Genealogía***, relacionan este episodio con el estreno de la obra de Calderón ***Fieras afemina amor***, en la que Cosme salió en un carro para actuar en el entremés de ***El triunfo de Juan Rana*** ."
M. L. Lobato,evocar,", por su parte","Como evoca, por su parte, M. L. Lobato, el lujo de esta fiesta provocó violentas reacciones, entre las que se incluyeron pasquines como el titulado ***A la fiesta que hizo en el Retiro a los Reyes el Príncipe de Astillano en 29 de enero de 1672***, donde se aconsejaba al Rey elegir mejor a su privado y donde se citaba también a 'Juan Rana': ""La milicia castellana, / para bencer en la lid, / solía sacar al Zid, / y ahora sale Juan Rana, / que después de sepultado / a las cosas de onor, / como al buen Cid Campeador / le tienen empapelado"" ."
Cosme Pérez,tener,"el lustro comprendido entre 1625 y 1630 como fecha en la que participaría también en la representación de la comedia de Juan Pérez de Montalbán titulada ***El segundo Séneca de España, don Felipe II***, donde Cosme Pérez tuvo un papel de mucha mayor relevancia que el anterior, no sólo en cuanto a su extensión, sino en su implicación en la trama","El mismo investigador señala el lustro comprendido entre 1625 y 1630 como fecha en la que participaría también en la representación de la comedia de Juan Pérez de Montalbán titulada ***El segundo Séneca de España, don Felipe II***, donde Cosme Pérez tuvo un papel de mucha mayor relevancia que el anterior, no sólo en cuanto a su extensión, sino en su implicación en la trama."
Sáez Raposo,deducir,A partir de las palabras,"A partir de las palabras pronunciadas por el personaje de ""Bartola, sobrina de Rana"" en el momento en que le anuncia y presenta en escena, Sáez Raposo deduce que el actor ya era bien conocido por el público, lo que no podría deberse sólo al pequeño papel interpretado en la citada comedia de Lope: ""Dentro Juan Rana."
Sáez Raposo,deducir,Juan Rana,"A partir de las palabras pronunciadas por el personaje de ""Bartola, sobrina de Rana"" en el momento en que le anuncia y presenta en escena, Sáez Raposo deduce que el actor ya era bien conocido por el público, lo que no podría deberse sólo al pequeño papel interpretado en la citada comedia de Lope: ""Dentro Juan Rana."
Rennert,indicar,", a la compañía","El reparto que figura en el manuscrito, que hemos consultado, podía corresponder, como ya indicó Rennert, a la compañía de Juan Bautista Valenciano  y en él figura ""Cosme"" —probablemente Cosme Pérez— en el papel de ""Leonardo"" .  "
Rennert,indicar,", a la compañía","El reparto que figura en el manuscrito, que hemos consultado, correspondería, como ya indicó Rennert, a la compañía de Juan Bautista Valenciano y en él figura ""Cosme"" —como ya supuso Rennert, se trataría de Cosme Pérez— en el papel de ""El Capitán Medrano""  —Cotarelo observó que los papeles representados por Cosme Pérez en las dos obras de Lope a las que acabamos de aludir no eran cómicos, y de ello dedujo que en esas fechas tempranas de su profesionalización su especialización como gracioso no se encontraba todavía definida."
Luis Quiñones de Benavente,escribir,>Por su parte,"<br>Por su parte, Luis Quiñones de Benavente escribió varias piezas para Cosme Pérez, en cuyos repartos aparece bien bajo el nombre de Cosme Pérez o de su apodo 'Juan Rana' ."
Luis Quiñones de Benavente,escribir,Cosme Pérez,"<br>Por su parte, Luis Quiñones de Benavente escribió varias piezas para Cosme Pérez, en cuyos repartos aparece bien bajo el nombre de Cosme Pérez o de su apodo 'Juan Rana' ."
Luis Quiñones de Benavente,escribir,varias piezas,"<br>Por su parte, Luis Quiñones de Benavente escribió varias piezas para Cosme Pérez, en cuyos repartos aparece bien bajo el nombre de Cosme Pérez o de su apodo 'Juan Rana' ."
Cotarelo,recordar,relación con este entremés,"En relación con este entremés, Cotarelo recuerda que uno de los temas de concurso de la academia burlesca celebrada en el Buen Retiro durante las fiestas de Carnaval de 1637 fue ""doce redondillas digan la razón por qué las beatas no tienen unto, y si basta la opinión del Doctor Juan Rana para que se crea""."
Cosme Pérez,trabajar,"como ""Cosme [Pérez]"", representado por Pedro de la Rosa —en cuya compañía trabajaba entonces probablemente Cosme Pérez— y Tomás Fernández, según Bergman probablemente en 1637","<br>4) El entremés ***El mago***, en cuyo reparto figura como ""Cosme [Pérez]"", representado por Pedro de la Rosa —en cuya compañía trabajaba entonces probablemente Cosme Pérez— y Tomás Fernández, según Bergman probablemente en 1637 ."
Antonio de Solís,contar,Juan Rana,"<br>Según apunta M. L. Lobato, Antonio de Solís contó también con Juan Rana para el entremés titulado ***La Zarzuela***, el cual, según el manuscrito que se conserva de la obra, se hizo en el Palacio de la Zarzuela con motivo de una ""Fiesta que se representó a Su Majestad"" en un día de mucho frío, según se indica en el primer verso del entremés ."
Antonio de Solís,contar,el entremés titulado *,"<br>Según apunta M. L. Lobato, Antonio de Solís contó también con Juan Rana para el entremés titulado ***La Zarzuela***, el cual, según el manuscrito que se conserva de la obra, se hizo en el Palacio de la Zarzuela con motivo de una ""Fiesta que se representó a Su Majestad"" en un día de mucho frío, según se indica en el primer verso del entremés ."
Solís,escribir para,El retrato,"Según recuerda M. L. Lobato, Solís también escribió para el actor que nos ocupa el entremés ***El retrato de Juan Rana***, pieza totalmente diferente, según afirma dicha investigadora, del que años más tarde hizo Calderón con el mismo título."
Solís,escribir para,el actor,"Según recuerda M. L. Lobato, Solís también escribió para el actor que nos ocupa el entremés ***El retrato de Juan Rana***, pieza totalmente diferente, según afirma dicha investigadora, del que años más tarde hizo Calderón con el mismo título."
M. L. Lobato,deducir,", a partir del hecho","La pieza se representó en palacio y M. L. Lobato deduce, a partir del hecho de que en las alabanzas finales se omite cualquier referencia al príncipe Felipe Próspero, que el entremés fue anterior a su nacimiento, que tuvo lugar en noviembre de 1657 ."
Juan Rana,intervenir en,la representación,"Además, Juan Rana intervino en la representación de otras piezas de teatro breve de Solís, como el sainete ***Las fiestas bacanales***: véase más abajo el año 1655."
Miguel de] Orozco,aludir a,la reciente viudez,"En el entremés ***La loa de Juan Rana***, escrito también por Moreto, intervino como actor Cosme Pérez, y en un parlamento entre [Miguel de] Orozco y [Juan] Rana se alude a la reciente viudez de [Sebastián de] Prado y a su encarcelamiento, que impedía su participación en los festejos de Palacio, motivo por el cual Rana, ante la falta de éste y otros actores, proponía imitar a diversos actores de su tiempo como [Antonio de] Escamilla, [Alonso de] Olmedo, [Mateo de] Godoy, María de Quiñones, María de Prado y Manuela Escamilla ."
Cotarelo,ofrecer,>Aparte de las piezas breves,"<br>Aparte de las piezas breves mencionadas a lo largo de la presente entrada, Cotarelo ofreció un primer corpus de los entremeses que diferentes poetas escribieron para este actor o su personaje, corpus que ha sido actualizado y completado modernamente por Sáez Raposo, quien repasa también algunos problemas de atribución de estas obras."
Cotarelo,ofrecer,un primer corpus,"<br>Aparte de las piezas breves mencionadas a lo largo de la presente entrada, Cotarelo ofreció un primer corpus de los entremeses que diferentes poetas escribieron para este actor o su personaje, corpus que ha sido actualizado y completado modernamente por Sáez Raposo, quien repasa también algunos problemas de atribución de estas obras."
Cosme Pérez,aparecer en,la nómina,"Cosme Pérez aparece en la nómina de la compañía de Antonio de Prado  incluida en un concierto, fechado en Madrid el 18 de marzo, entre dicho autor y la Villa de Madrid sobre la representación de dos autos para la fiesta del Corpus, en el que se establecía, entre las condiciones, la entrega que haría la Villa a cada actor de una vela de cera de media libra .<br><br"
Villa,hacer,"un concierto, fechado en Madrid el 18 de marzo, entre dicho autor y la Villa de Madrid sobre la representación de dos autos para la fiesta del Corpus, en el que se establecía, entre las condiciones, la entrega que haría la Villa a cada actor de una vela de cera de media libra","Cosme Pérez aparece en la nómina de la compañía de Antonio de Prado  incluida en un concierto, fechado en Madrid el 18 de marzo, entre dicho autor y la Villa de Madrid sobre la representación de dos autos para la fiesta del Corpus, en el que se establecía, entre las condiciones, la entrega que haría la Villa a cada actor de una vela de cera de media libra .<br><br"
Cosme Pérez,pertenecer a,Cotarelo,"Según Cotarelo, Cosme Pérez pertenecía a la compañía de Tomás Fernández Cabredo, quien le envió este año a Madrid con la limosna de su compañía para la Cofradía de Nuestra Señora de la Novena, según se hacía constar en los libros de la Cofradía ; el primer cabildo de la Cofradía de Nuestra Señora de la Novena al que asistió Cosme Pérez, según la ***Genealogía***, fue el celebrado el 25 de junio ; en el archivo de la Parroquia de San Sebastián de Madrid, según Cotarelo, constaba la defunción, el 18 de septiembre, en la Calle del Niño, donde vivía, de un hijo de Cosme Pérez —probablemente de muy corta edad, según Cotarelo."
