Head,Relation,Tail,Context
Cosme Pérez,conocer,'Juan Rana,"Aunque su verdadero nombre era Cosme Pérez, Cosme Pérez fue conocido artísticamente como 'Juan Rana', según documenta ya la Genealogía —este apodo ya se le aplicaba en 1636—."
Cosme Pérez,nacer en,Tudela de Duero,"Aunque Cotarelo aventuró que pudo haber nacido en Madrid, hoy sabemos que Cosme Pérez nació en Tudela de Duero (Valladolid), en cuya iglesia parroquial fue bautizado el 7 de abril de 1593."
Rennert,poner en,su lado,"Por su lado, Rennert puso en duda el matrimonio de Cosme Pérez con Bernarda Ramírez y creyó más probable que Cosme Pérez estuviese casado con Bernarda Manuela ['la Grifona'], que sería, según esto, su primera mujer."
Rennert,poner en,el matrimonio Cosme Bernarda,"Por su lado, Rennert puso en duda el matrimonio de Cosme Pérez con Bernarda Ramírez y creyó más probable que Cosme Pérez estuviese casado con Bernarda Manuela ['la Grifona'], que sería, según esto, su primera mujer."
Cotarelo,poner de,relieve,"Sin embargo, ambos matrimonios de Cosme Pérez no se encuentran documentados, como ya puso de relieve Cotarelo, y probablemente se fundan en deducciones realizadas a partir de algunos entremeses en los que Cosme Pérez figura junto con estas actrices haciendo papeles de marido y mujer."
Cosme Pérez,figurar junto,estas actrices,"Sin embargo, ambos matrimonios de Cosme Pérez no se encuentran documentados, como ya puso de relieve Cotarelo, y probablemente se fundan en deducciones realizadas a partir de algunos entremeses en los que Cosme Pérez figura junto con estas actrices haciendo papeles de marido y mujer."
Cosme Pérez,tener,una hija,"De hecho, la Genealogía tan sólo documenta el matrimonio de Cosme Pérez con María de Acosta, con la que Cosme Pérez tuvo una hija —y quizá también un hijo: véase el año 1634—, Francisca María Pérez, y se refiere a la circunstancia de que los tres, Cosme Pérez, María de Acosta y Francisca María Pérez, fueron recibidos en la Cofradía de Nuestra Señora de la Novena estando en la compañía de Tomás Fernández [Cabredo] —la fecha en que Cosme Pérez, María de Acosta y Francisca María Pérez fueron recibidos como cofrades no se especifica en la Genealogía, aunque Cotarelo la sitúa en 1631—."
Francisca María Pérez,ver,el año 1634,"De hecho, la Genealogía tan sólo documenta el matrimonio de Cosme Pérez con María de Acosta, con la que Cosme Pérez tuvo una hija —y quizá también un hijo: véase el año 1634—, Francisca María Pérez, y se refiere a la circunstancia de que los tres, Cosme Pérez, María de Acosta y Francisca María Pérez, fueron recibidos en la Cofradía de Nuestra Señora de la Novena estando en la compañía de Tomás Fernández [Cabredo] —la fecha en que Cosme Pérez, María de Acosta y Francisca María Pérez fueron recibidos como cofrades no se especifica en la Genealogía, aunque Cotarelo la sitúa en 1631—."
Cosme Pérez,recibir como,cofrades,"De hecho, la Genealogía tan sólo documenta el matrimonio de Cosme Pérez con María de Acosta, con la que Cosme Pérez tuvo una hija —y quizá también un hijo: véase el año 1634—, Francisca María Pérez, y se refiere a la circunstancia de que los tres, Cosme Pérez, María de Acosta y Francisca María Pérez, fueron recibidos en la Cofradía de Nuestra Señora de la Novena estando en la compañía de Tomás Fernández [Cabredo] —la fecha en que Cosme Pérez, María de Acosta y Francisca María Pérez fueron recibidos como cofrades no se especifica en la Genealogía, aunque Cotarelo la sitúa en 1631—."
Cotarelo,situar en,1631,"De hecho, la Genealogía tan sólo documenta el matrimonio de Cosme Pérez con María de Acosta, con la que Cosme Pérez tuvo una hija —y quizá también un hijo: véase el año 1634—, Francisca María Pérez, y se refiere a la circunstancia de que los tres, Cosme Pérez, María de Acosta y Francisca María Pérez, fueron recibidos en la Cofradía de Nuestra Señora de la Novena estando en la compañía de Tomás Fernández [Cabredo] —la fecha en que Cosme Pérez, María de Acosta y Francisca María Pérez fueron recibidos como cofrades no se especifica en la Genealogía, aunque Cotarelo la sitúa en 1631—."
Cosme Pérez,gozar de,la fuente,"Según la misma fuente, Cosme Pérez gozó de la confianza del Rey y por ello pudo intervenir ante el Rey en favor de su sobrina Bárbara Coronel, encarcelada en Guadalajara y condenada a muerte por haber tramado con un apuntador el asesinato de su marido —sin embargo, sólo la Genealogía, a la que sigue Aguilar Priego, recoge este parentesco de Cosme Pérez con Bárbara Coronel—."
M. L. Lobato,recoger,el testimonio entremés,"Así, M. L. Lobato recoge el testimonio del entremés de Avellaneda La portería de las damas, probablemente escrito hacia 1650, en el que se deja constancia de este aprecio, haciendo referencia al hecho de que el autor Pedro de la Rosa hubiera quitado a 'Juan Rana' los papeles de representar porque Juan Rana había perdido la memoria, y la tristeza que ello supuestamente habría ocasionado en la familia real: ""Qué ha de hacer la infantica [María Teresa de Austria] / sin su Juan Rana? ¡Ay, bella chocotica! / y al rey, aunque el rey lo encubre con el guante, / ¿quién le ha de hacer reír de aquí en adelante?""."
Juan Rana,perder,la memoria,"Así, M. L. Lobato recoge el testimonio del entremés de Avellaneda La portería de las damas, probablemente escrito hacia 1650, en el que se deja constancia de este aprecio, haciendo referencia al hecho de que el autor Pedro de la Rosa hubiera quitado a 'Juan Rana' los papeles de representar porque Juan Rana había perdido la memoria, y la tristeza que ello supuestamente habría ocasionado en la familia real: ""Qué ha de hacer la infantica [María Teresa de Austria] / sin su Juan Rana? ¡Ay, bella chocotica! / y al rey, aunque el rey lo encubre con el guante, / ¿quién le ha de hacer reír de aquí en adelante?""."
Cosme Pérez,solicitar a,una ayuda concedida,"La misma fuente refiere que en otra ocasión un poeta escribió un entremés en que aludía a la propiedad de Cosme Pérez de unas casas en la calle de Cantarranas, junto a una pastelería, y Cosme Pérez le pidió al poeta que omitiera esa alusión, pues Cosme Pérez había solicitado al rey una ayuda que no le sería concedida si se supiera que tenía casas en propiedad."
Pellicer,recoger,otro lado,"Por otro lado, siguiendo con las anécdotas que se le atribuían a 'Juan Rana', Pellicer y después Cotarelo recogen el testimonio de Juan Caramuel, en la obra Primus calamus de Juan Caramuel, de donde traducen la siguiente anécdota, referida a 'Juan Rana': En Madrid, el Salón del Palacio, llamado el Bello (o Buen) Retiro, donde se representan las comedias, tiene alrededor algunas ventanas o balcones, que corresponden a los aposentos donde se sientan los Grandes cuando se representan las comedias."
