Head,Relation,Tail,Context
Cosme Pérez,conocer artísticamente,'Juan Rana,"Aunque su verdadero nombre era Cosme Pérez, Cosme Pérez fue conocido artísticamente como 'Juan Rana', según documenta ya la Genealogía —este apodo ya se le aplicaba en 1636—."
Cosme Pérez,nacer en,Tudela de Duero,"Aunque Cotarelo aventuró que pudo haber nacido en Madrid, hoy sabemos que Cosme Pérez nació en Tudela de Duero (Valladolid), en cuya iglesia parroquial Cosme Pérez fue bautizado el 7 de abril de 1593."
Rennert,poner en,el matrimonio Cosme Bernarda,"Por su lado, Rennert puso en duda el matrimonio de Cosme Pérez con Bernarda Ramírez y creyó más probable que Cosme Pérez estuviese casado con Bernarda Manuela ['la Grifona'], que sería, según esto, la primera mujer de Cosme Pérez."
Rennert,poner en,su lado,"Por su lado, Rennert puso en duda el matrimonio de Cosme Pérez con Bernarda Ramírez y creyó más probable que Cosme Pérez estuviese casado con Bernarda Manuela ['la Grifona'], que sería, según esto, la primera mujer de Cosme Pérez."
Cotarelo,poner de,relieve,"Sin embargo, ambos matrimonios no se encuentran documentados, como ya puso de relieve Cotarelo, y probablemente las deducciones sobre estos matrimonios se fundan en algunos entremeses en los que Cosme Pérez figura junto con estas actrices haciendo papeles de marido y mujer."
Cosme Pérez,figurar junto,estas actrices,"Sin embargo, ambos matrimonios no se encuentran documentados, como ya puso de relieve Cotarelo, y probablemente las deducciones sobre estos matrimonios se fundan en algunos entremeses en los que Cosme Pérez figura junto con estas actrices haciendo papeles de marido y mujer."
Cosme Pérez,tener,una hija,"De hecho, la Genealogía tan sólo documenta el matrimonio de Cosme Pérez con María de Acosta, con la que Cosme Pérez tuvo una hija —y quizá también un hijo: véase el año 1634—, Francisca María Pérez, y se refiere a la circunstancia de que los tres fueron recibidos en la Cofradía de Nuestra Señora de la Novena estando en la compañía de Tomás Fernández [Cabredo] —la fecha en que fueron recibidos como cofrades no se especifica en la Genealogía, aunque Cotarelo la sitúa en 1631—."
Francisca María Pérez,ver,el año 1634,"De hecho, la Genealogía tan sólo documenta el matrimonio de Cosme Pérez con María de Acosta, con la que Cosme Pérez tuvo una hija —y quizá también un hijo: véase el año 1634—, Francisca María Pérez, y se refiere a la circunstancia de que los tres fueron recibidos en la Cofradía de Nuestra Señora de la Novena estando en la compañía de Tomás Fernández [Cabredo] —la fecha en que fueron recibidos como cofrades no se especifica en la Genealogía, aunque Cotarelo la sitúa en 1631—."
Cotarelo,situar en,1631,"De hecho, la Genealogía tan sólo documenta el matrimonio de Cosme Pérez con María de Acosta, con la que Cosme Pérez tuvo una hija —y quizá también un hijo: véase el año 1634—, Francisca María Pérez, y se refiere a la circunstancia de que los tres fueron recibidos en la Cofradía de Nuestra Señora de la Novena estando en la compañía de Tomás Fernández [Cabredo] —la fecha en que fueron recibidos como cofrades no se especifica en la Genealogía, aunque Cotarelo la sitúa en 1631—."
Juan Rana,alcanzar,la grande habilidad Domingo,"Como muestra de su popularidad, el autor de la Genealogía nos cuenta que el actor Domingo Canejil, que murió en 1707, recibió el nombre de 'Ranilla' ""porque decían que ni Juan Rana había alcanzado la grande habilidad de Domingo Canejil""."
