Head,Relation,Tail,Context
Cosme Pérez,nacer en,Tudela de Duero,"Aunque Cotarelo aventuró que pudo haber nacido en Madrid, hoy sabemos que Cosme Pérez nació en Tudela de Duero (Valladolid), en cuya iglesia parroquial fue bautizado el 7 de abril de 1593."
Rennert,poner en,el matrimonio,"Por su lado, Rennert puso en duda el matrimonio de Cosme Pérez con Bernarda Ramírez y creyó más probable que Cosme Pérez estuviese casado con Bernarda Manuela ['la Grifona'], que sería, según esto, su primera mujer."
Rennert,poner en,su lado,"Por su lado, Rennert puso en duda el matrimonio de Cosme Pérez con Bernarda Ramírez y creyó más probable que Cosme Pérez estuviese casado con Bernarda Manuela ['la Grifona'], que sería, según esto, su primera mujer."
Cotarelo,poner de,relieve,"Sin embargo, ambos matrimonios de Cosme Pérez no se encuentran documentados, como ya puso de relieve Cotarelo, y probablemente se fundan en deducciones realizadas a partir de algunos entremeses en los que Cosme Pérez figura junto con estas actrices haciendo papeles de marido y mujer."
Cosme Pérez,figurar junto,deducciones realizadas a partir de algunos entremeses en los que Cosme Pérez figura junto con estas actrices haciendo papeles de marido y mujer,"Sin embargo, ambos matrimonios de Cosme Pérez no se encuentran documentados, como ya puso de relieve Cotarelo, y probablemente se fundan en deducciones realizadas a partir de algunos entremeses en los que Cosme Pérez figura junto con estas actrices haciendo papeles de marido y mujer."
Cosme Pérez,tener,una hija,"De hecho, la Genealogía tan sólo documenta el matrimonio de Cosme Pérez con María de Acosta, con la que Cosme Pérez tuvo una hija —y quizá también un hijo: véase el año 1634—, Francisca María Pérez, y se refiere a la circunstancia de que los tres, Cosme Pérez, María de Acosta y Francisca María Pérez, fueron recibidos en la Cofradía de Nuestra Señora de la Novena estando en la compañía de Tomás Fernández [Cabredo] —la fecha en que Cosme Pérez, María de Acosta y Francisca María Pérez fueron recibidos como cofrades no se especifica en la Genealogía, aunque Cotarelo la sitúa en 1631—."
Cosme Pérez,recibir,como cofrades,"De hecho, la Genealogía tan sólo documenta el matrimonio de Cosme Pérez con María de Acosta, con la que Cosme Pérez tuvo una hija —y quizá también un hijo: véase el año 1634—, Francisca María Pérez, y se refiere a la circunstancia de que los tres, Cosme Pérez, María de Acosta y Francisca María Pérez, fueron recibidos en la Cofradía de Nuestra Señora de la Novena estando en la compañía de Tomás Fernández [Cabredo] —la fecha en que Cosme Pérez, María de Acosta y Francisca María Pérez fueron recibidos como cofrades no se especifica en la Genealogía, aunque Cotarelo la sitúa en 1631—."
Cotarelo,situar en,1631,"De hecho, la Genealogía tan sólo documenta el matrimonio de Cosme Pérez con María de Acosta, con la que Cosme Pérez tuvo una hija —y quizá también un hijo: véase el año 1634—, Francisca María Pérez, y se refiere a la circunstancia de que los tres, Cosme Pérez, María de Acosta y Francisca María Pérez, fueron recibidos en la Cofradía de Nuestra Señora de la Novena estando en la compañía de Tomás Fernández [Cabredo] —la fecha en que Cosme Pérez, María de Acosta y Francisca María Pérez fueron recibidos como cofrades no se especifica en la Genealogía, aunque Cotarelo la sitúa en 1631—."
Cosme Pérez,zelebrar en,la parte,"En la misma Genealogía se hace alusión a la enorme popularidad de Cosme Pérez en los siguientes términos: ""Cosme Pérez fue mui zelebrado en la parte de grazioso, y aun excedió a todos los de su tiempo, y solo con salir a las tablas, y sin hablar, probocaba a risa y al aplauso a los que le veían""."
Cosme Pérez,gozar de,la confianza,"Según la misma fuente, Cosme Pérez gozó de la confianza del Rey y por ello pudo intervenir ante el Rey en favor de su sobrina Bárbara Coronel, encarcelada en Guadalajara y condenada a muerte por haber tramado con un apuntador el asesinato de su marido —sin embargo, sólo la Genealogía, a la que sigue Aguilar Priego, recoge este parentesco de Cosme Pérez con Bárbara Coronel—."
Cosme Pérez,gozar de,la misma fuente,"Según la misma fuente, Cosme Pérez gozó de la confianza del Rey y por ello pudo intervenir ante el Rey en favor de su sobrina Bárbara Coronel, encarcelada en Guadalajara y condenada a muerte por haber tramado con un apuntador el asesinato de su marido —sin embargo, sólo la Genealogía, a la que sigue Aguilar Priego, recoge este parentesco de Cosme Pérez con Bárbara Coronel—."
